Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Trimethylamine hydrochloride,Levulinic acid,,0.25,0.75,,313.15,25.57,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Trimethylamine hydrochloride,Levulinic acid,,0.25,0.75,,323.15,17.71,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Trimethylamine hydrochloride,Levulinic acid,,0.25,0.75,,333.15,12.7,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Ethylammonium chloride,Trifluoroacetamide,,0.4,0.6,,313.15,256,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Ethylammonium chloride,Acetamide,,0.4,0.6,,313.15,64,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Ethylammonium chloride,Urea,,0.4,0.6,,313.15,128,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Choline chloride,Trifluoroacetamide,,0.3333,0.6667,,313.15,77,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Urea,,0.3333,0.6667,,313.15,2214,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Choline chloride,Urea,,0.3333,0.6667,,313.15,169,10.1002/cphc.200500489
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,293.15,213.18,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,298.15,150.76,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,303.15,109.11,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,308.15,81.109,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,313.15,61.797,10.1016/j.molliq.2017.06.024
