Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,train/test,"Viscosity, cP",Reference (DOI),"Viscosity_prediction, cP"
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,363.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,17.68,10.1021/acs.iecr.7b02478,18.53723327
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,5.16,10.1021/acs.iecr.7b02478,160.5298847
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,2.31,10.1021/acs.iecr.7b02478,105.3302228
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,0.65,10.1021/acs.iecr.7b02478,70.6112116
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,0.22,10.1021/acs.iecr.7b02478,54.14285778
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,0.15,10.1021/acs.iecr.7b02478,42.45610973
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,363.15,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,test,0.13,10.1021/acs.iecr.7b02478,33.40637411
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,6.81,10.1021/acs.iecr.7b02478,181.5816872
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,5.1,10.1021/acs.iecr.7b02478,128.0765794
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,323.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,3.52,10.1021/acs.iecr.7b02478,105.8761201
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,1.23,10.1021/acs.iecr.7b02478,85.34650741
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,0.78,10.1021/acs.iecr.7b02478,69.45319551
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,0.56,10.1021/acs.iecr.7b02478,55.32321736
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,363.15,-11.42331607,-6.781421172,0,1.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,test,0.24,10.1021/acs.iecr.7b02478,41.97837547
CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,293.15,-22.68236862,13.19763138,0,2.25,0,0.005013387455,0.3969822987,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,train,134.23,10.1016/j.molliq.2016.07.039,257.0009281
CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,303.15,-22.68236862,13.19763138,0,2.25,0,0.005013387455,0.3969822987,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,train,79.14,10.1016/j.molliq.2016.07.039,167.6585236
CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,313.15,-22.68236862,13.19763138,0,2.25,0,0.005013387455,0.3969822987,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,train,47.76,10.1016/j.molliq.2016.07.039,85.63463531
CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,323.15,-22.68236862,13.19763138,0,2.25,0,0.005013387455,0.3969822987,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,train,31.29,10.1016/j.molliq.2016.07.039,61.85301247
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,293.15,-11.42331607,13.19763138,0,2.25,0,0.003018987168,0.5223670518,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,164.52,10.1016/j.molliq.2016.07.039,268.4281481
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,303.15,-11.42331607,13.19763138,0,2.25,0,0.003018987168,0.5223670518,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,85.88,10.1016/j.molliq.2016.07.039,166.465908
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,313.15,-11.42331607,13.19763138,0,2.25,0,0.003018987168,0.5223670518,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,46.75,10.1016/j.molliq.2016.07.039,87.06908355
