Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,313.15,1.1398,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,323.15,1.1338,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,293.15,1.1493,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,303.15,1.1448,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,313.15,1.1381,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,323.15,1.1317,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,293.15,1.1527,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,303.15,1.1481,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,313.15,1.1425,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,323.15,1.1351,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,293.15,1.142,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,298.15,1.13842,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,303.15,1.13483,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,308.15,1.13119,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,313.15,1.12749,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,318.15,1.12398,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,323.15,1.12036,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,328.15,1.1167,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,333.15,1.1137,10.1016/j.molliq.2016.07.039
