Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),Molar fraction of component#3,I,II,III,IV,V,"Temperature of experiment, K","VdWVolume, A^3#1",Van der Waals volume of component #2,Van der Waals volume of component #3,Number of Heteroatoms,RingCount,InertialShapeFactor,Spherocity Index,Mass fraction of metal ,Li,C,N,O,F,Al,P,S, Cl,K,Fe,Cu,Zn, Br,train/test,"Density, g/cm^3",Reference (DOI),"Density_prediction, g/cm^3"
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1249,10.1021/acs.iecr.7b02478,1.128059732
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,323.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1193,10.1021/acs.iecr.7b02478,1.131627614
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,333.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1133,10.1021/acs.iecr.7b02478,1.129330066
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,343.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1081,10.1021/acs.iecr.7b02478,1.129573203
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,353.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1037,10.1021/acs.iecr.7b02478,1.124553286
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,363.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1002,10.1021/acs.iecr.7b02478,1.126340299
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1557,10.1021/acs.iecr.7b02478,1.158747172
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1517,10.1021/acs.iecr.7b02478,1.154809191
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,323.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1456,10.1021/acs.iecr.7b02478,1.147603166
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1421,10.1021/acs.iecr.7b02478,1.141341732
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1384,10.1021/acs.iecr.7b02478,1.146841523
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1326,10.1021/acs.iecr.7b02478,1.13384295
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,363.15,-11.42331607,-6.781421172,0,2.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,train,1.1285,10.1021/acs.iecr.7b02478,1.133315813
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.1206,10.1021/acs.iecr.7b02478,1.115716409
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.1141,10.1021/acs.iecr.7b02478,1.112063799
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,323.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.1092,10.1021/acs.iecr.7b02478,1.104857774
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.1026,10.1021/acs.iecr.7b02478,1.099761937
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.0987,10.1021/acs.iecr.7b02478,1.105261728
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.0935,10.1021/acs.iecr.7b02478,1.091442589
ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,363.15,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286262,0.6688309226,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,train,1.0895,10.1021/acs.iecr.7b02478,1.089456725
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1293,10.1021/acs.iecr.7b02478,1.123418104
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1249,10.1021/acs.iecr.7b02478,1.119638796
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,323.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1193,10.1021/acs.iecr.7b02478,1.110871776
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1133,10.1021/acs.iecr.7b02478,1.105001339
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1081,10.1021/acs.iecr.7b02478,1.110105084
ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,2.8,0.6,0.002120470568,0.6668496796,0,0,4.6,1.6,0.8,0,0,0,0,0.4,0,0,0,0,0,train,1.1037,10.1021/acs.iecr.7b02478,1.101283641
